id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US12021,49521,75.3,2012,Collier County, Florida
0500000US12023,10780,68.9,872,Columbia County, Florida
0500000US12031,150660,67.0,2426,Duval County, Florida
0500000US12033,48556,63.7,1819,Escambia County, Florida
0500000US12035,15109,67.7,1367,Flagler County, Florida
0500000US12053,26683,74.3,1031,Hernando County, Florida
0500000US12055,12973,76.6,1495,Highlands County, Florida
0500000US12057,232990,64.8,2634,Hillsborough County, Florida
0500000US12061,18249,65.3,2123,Indian River County, Florida
0500000US12069,53581,74.0,1710,Lake County, Florida
0500000US12071,101246,70.2,2581,Lee County, Florida
0500000US12073,41295,40.2,1391,Leon County, Florida
0500000US12081,53333,71.3,1918,Manatee County, Florida
0500000US12083,51213,74.7,2826,Marion County, Florida
0500000US12085,20957,74.9,1132,Martin County, Florida
0500000US12086,413207,61.1,5743,Miami-Dade County, Florida
0500000US12087,8186,70.1,630,Monroe County, Florida
0500000US12089,13286,74.2,548,Nassau County, Florida
0500000US12091,34194,70.0,967,Okaloosa County, Florida
0500000US12095,221106,59.3,3586,Orange County, Florida
0500000US12097,68181,69.5,2326,Osceola County, Florida
0500000US12099,210870,64.8,2910,Palm Beach County, Florida
0500000US12101,80435,69.4,1706,Pasco County, Florida
0500000US12103,115661,66.8,2400,Pinellas County, Florida
0500000US12105,116842,75.2,3139,Polk County, Florida
0500000US12107,12151,77.0,1375,Putnam County, Florida
0500000US12109,44891,68.2,1592,St. Johns County, Florida
0500000US12111,48975,67.6,1757,St. Lucie County, Florida
0500000US12113,28777,65.9,1576,Santa Rosa County, Florida
0500000US12115,46675,72.5,1873,Sarasota County, Florida
0500000US12117,71753,63.1,1888,Seminole County, Florida
0500000US12119,8048,70.8,1068,Sumter County, Florida
0500000US12127,73713,64.9,1531,Volusia County, Florida
0500000US12131,11301,78.8,836,Walton County, Florida
0500000US13013,15111,76.8,950,Barrow County, Georgia
0500000US13015,18792,78.8,1074,Bartow County, Georgia
0500000US13021,27595,65.7,1000,Bibb County, Georgia
0500000US13031,10996,36.9,1431,Bulloch County, Georgia
0500000US13045,22135,61.0,1347,Carroll County, Georgia
0500000US13047,10761,74.6,900,Catoosa County, Georgia
0500000US13051,45098,57.9,1180,Chatham County, Georgia
0500000US13057,46276,70.9,1303,Cherokee County, Georgia
0500000US13059,15666,30.3,630,Clarke County, Georgia
0500000US13063,58545,69.7,1942,Clayton County, Georgia
0500000US13067,133702,66.8,2230,Cobb County, Georgia
0500000US13073,30740,68.2,1467,Columbia County, Georgia
0500000US13077,28138,72.6,1976,Coweta County, Georgia
