GEO_ID,PCT_total_households_with_Device,PCT_total_households_with_Desktop,PCT_total_households_with_NO,PCT_total_households_with_Smartphone,PCT_total_households_with_NO2,PCT_total_households_with_Portable,PCT_total_households_with_NO3,PCT_total_households_with_Other,PCT_total_households_with_NO4,PCT_total_households_No_Device,PCT_total_households_with_SUB,PCT_total_households_with_DU,PCT_total_households_with_Broadband,PCT_total_households_with_Cellular,PCT_total_households_with_Cell_NO,PCT_total_households_with_Cable,PCT_total_households_with_SAT,PCT_total_households_without_SUB
0500000US21029,92.9,77.3,5.7,83.2,6.4,64.4,0.9,1.0,0.0,7.1,86.0,0.3,85.7,76.4,6.8,76.4,8.8,14.0
0500000US21037,90.7,78.6,3.8,83.1,6.7,64.5,0.7,8.9,0.0,9.3,82.8,2.8,80.0,73.9,9.4,67.8,3.4,17.2
0500000US21047,88.7,67.3,2.7,82.1,13.9,53.9,1.2,1.9,0.0,11.3,81.2,0.5,80.8,71.2,31.2,45.1,8.7,18.8
0500000US21059,89.6,69.7,4.1,81.5,12.6,60.1,1.3,2.6,0.0,10.4,86.8,0.2,86.7,78.9,12.2,68.6,7.4,13.2
0500000US21067,95.8,80.7,3.2,89.4,7.9,67.0,1.1,4.4,0.0,4.2,90.7,0.1,90.5,80.1,10.8,77.5,4.0,9.3
0500000US21093,90.5,70.1,4.8,82.2,10.1,61.6,1.9,3.0,0.0,9.5,76.1,0.2,75.9,64.5,8.1,66.1,5.5,23.9
0500000US21111,90.4,74.3,3.9,83.5,10.2,59.5,1.1,2.0,0.0,9.6,86.6,0.2,86.5,80.2,14.3,69.6,5.5,13.4
0500000US21117,92.9,80.2,3.6,85.5,6.7,68.3,0.9,3.4,0.0,7.1,89.7,0.3,89.4,79.2,10.4,77.3,3.2,10.3
0500000US21145,91.6,74.3,3.9,84.4,11.3,58.4,1.3,1.5,0.0,8.4,85.5,0.0,85.5,77.2,25.2,55.2,8.8,14.5
0500000US21151,91.2,79.4,4.3,82.4,5.9,66.6,1.2,3.0,0.0,8.8,87.5,1.0,86.4,75.5,13.1,68.0,10.2,12.5
0500000US21185,96.5,86.1,2.2,91.5,6.8,76.4,0.4,3.8,0.2,3.5,93.9,0.5,93.5,87.9,8.5,80.3,8.3,6.1
0500000US21227,93.2,78.2,4.5,85.3,8.6,65.8,0.7,3.0,0.0,6.8,87.1,0.3,86.7,79.7,10.9,72.9,4.8,12.9
0500000US22005,93.1,74.5,2.6,88.5,7.6,72.3,0.4,5.4,0.0,6.9,89.1,0.3,88.7,82.7,9.4,78.0,5.5,10.9
0500000US22015,90.1,72.5,3.0,85.5,13.9,41.3,0.4,2.0,0.0,9.9,60.4,0.1,60.3,53.9,12.4,44.2,8.1,39.6
0500000US22017,87.1,61.8,4.4,79.9,18.9,42.4,1.1,1.7,0.0,12.9,67.0,0.3,66.7,59.9,12.7,50.6,7.4,33.0
0500000US22019,87.1,67.7,3.0,80.8,13.0,53.0,1.7,0.8,0.0,12.9,77.4,0.1,77.3,69.9,10.8,61.8,8.2,22.6
0500000US22033,91.8,73.8,2.7,87.4,12.8,58.3,0.7,2.6,0.0,8.2,87.0,0.2,86.8,80.5,12.0,71.7,6.0,13.0
0500000US22045,85.4,63.0,3.4,78.8,14.3,50.9,1.1,1.3,0.0,14.6,81.3,0.0,81.3,75.6,13.7,61.5,9.5,18.7
0500000US22051,88.8,70.3,4.2,82.1,12.0,55.3,0.9,3.7,0.0,11.2,81.1,0.2,81.0,73.0,11.6,67.1,10.1,18.9
0500000US22055,93.2,74.2,2.4,88.3,12.7,60.8,0.7,1.4,0.0,6.8,87.5,0.1,87.4,80.2,7.8,77.5,3.8,12.5
0500000US22057,87.2,65.6,2.9,81.4,12.5,61.2,0.4,0.6,0.0,12.8,79.6,0.0,79.6,66.9,10.7,65.1,6.6,20.4
0500000US22063,94.9,76.2,2.6,89.4,8.1,66.3,0.6,1.3,0.0,5.1,87.6,0.1,87.5,48.1,5.3,79.0,5.1,12.4
0500000US22071,87.9,66.2,3.2,81.0,15.9,50.1,1.1,4.0,0.0,12.1,78.0,0.1,78.0,67.7,17.1,59.0,4.1,22.0
0500000US22073,82.9,64.3,3.0,76.0,13.0,50.9,1.5,2.8,0.1,17.1,76.3,0.7,75.6,64.5,18.5,53.4,6.8,23.7
0500000US22079,89.6,68.2,4.2,80.1,12.3,62.3,1.1,1.9,0.0,10.4,84.3,0.4,83.9,75.8,12.5,62.1,13.5,15.7
0500000US22097,74.1,50.2,5.8,66.6,18.1,33.5,1.3,1.4,0.0,25.9,58.1,0.5,57.6,43.2,17.3,34.1,7.1,41.9
0500000US22103,93.2,80.0,3.4,86.5,7.6,68.0,1.2,6.3,0.1,6.8,86.8,0.2,86.6,80.9,8.7,74.9,7.3,13.2
0500000US22105,87.7,65.5,4.4,80.7,14.0,55.8,1.1,1.6,0.2,12.3,81.8,0.1,81.7,73.5,11.9,63.9,9.0,18.2
0500000US22109,88.0,67.8,3.6,79.6,10.0,63.1,1.1,1.4,0.0,12.0,83.8,0.2,83.5,67.3,11.0,68.6,9.3,16.2
0500000US23001,91.0,76.0,8.6,76.3,8.4,58.8,1.3,6.2,0.0,9.0,84.2,0.3,83.9,71.7,8.2,73.7,3.4,15.8
0500000US23003,83.1,66.1,10.6,61.4,7.0,51.8,4.1,1.0,0.0,16.9,70.7,1.9,68.9,47.6,7.6,56.7,4.9,29.3
0500000US23005,93.0,86.1,5.4,83.2,2.7,67.8,1.1,2.3,0.0,7.0,89.8,0.2,89.5,79.4,7.3,80.6,2.1,10.2
0500000US23011,89.0,75.9,6.8,77.6,6.5,57.2,0.8,1.7,0.0,11.0,82.7,0.6,82.1,68.1,6.3,73.6,4.0,17.3
0500000US23019,90.1,76.5,8.5,74.8,6.9,60.6,2.2,1.6,0.0,9.9,84.5,0.8,83.7,66.7,7.8,72.0,4.3,15.5
0500000US23031,91.9,81.5,6.8,79.4,5.1,66.9,1.7,2.6,0.0,8.1,87.1,0.7,86.5,73.2,7.3,76.7,4.6,12.9
0500000US24001,83.9,66.9,5.2,74.1,10.6,56.1,1.2,1.7,0.0,16.1,79.0,0.3,78.7,70.7,14.2,58.6,7.6,21.0
0500000US24003,94.8,87.1,3.4,88.6,4.0,73.4,0.5,2.4,0.0,5.2,92.3,0.0,92.3,84.9,8.9,82.6,2.2,7.7
0500000US24005,92.8,82.5,4.4,85.1,5.7,67.6,0.9,3.0,0.0,7.2,88.5,0.2,88.3,81.2,10.0,76.5,4.0,11.5
0500000US24009,93.3,87.6,3.2,88.7,3.5,74.8,0.1,2.5,0.0,6.7,89.8,0.0,89.8,81.6,7.6,79.0,5.8,10.2
0500000US24013,91.1,82.7,2.8,85.7,4.4,69.5,0.6,2.2,0.1,8.9,88.6,0.3,88.3,81.3,21.7,62.2,5.5,11.4
0500000US24015,89.1,78.1,6.0,79.9,6.8,61.8,0.3,1.1,0.0,10.9,83.6,0.1,83.4,68.4,10.9,67.9,5.1,16.4
0500000US24017,92.0,84.3,3.2,86.6,3.7,73.5,0.5,7.6,0.0,8.0,87.8,0.3,87.5,79.6,8.6,77.1,4.9,12.2
0500000US24021,94.0,85.4,3.1,87.7,4.9,72.7,0.7,3.0,0.2,6.0,91.0,0.2,90.8,83.1,8.9,78.0,7.0,9.0
0500000US24025,93.2,86.5,4.3,85.4,3.7,70.9,0.7,3.2,0.1,6.8,89.8,0.4,89.4,79.9,8.0,78.9,4.2,10.2
0500000US24027,97.1,90.5,2.4,92.4,3.4,77.7,0.5,3.1,0.0,2.9,94.8,0.3,94.6,89.9,5.9,87.7,2.7,5.2
0500000US24031,96.6,90.4,3.8,90.7,3.5,74.1,0.6,3.5,0.0,3.4,93.1,0.2,92.9,86.0,6.1,85.8,4.4,6.9
0500000US24033,95.3,80.7,3.8,88.6,9.0,67.5,0.8,2.3,0.0,4.7,88.9,0.1,88.9,80.5,8.8,78.3,5.5,11.1
0500000US24037,92.1,83.4,6.4,81.6,4.3,68.3,1.5,3.7,0.0,7.9,87.3,0.3,87.0,74.6,7.5,74.7,9.4,12.7
0500000US24043,88.4,74.0,5.9,78.5,8.4,59.7,0.6,1.6,0.0,11.6,83.1,0.2,82.9,71.1,11.9,66.4,8.2,16.9
0500000US24045,88.3,71.9,3.8,79.9,8.8,59.9,1.6,2.0,0.0,11.7,81.7,0.2,81.6,74.2,9.7,68.8,6.1,18.3
0500000US24510,88.3,67.6,4.3,81.2,13.3,53.3,1.1,2.4,0.1,11.7,78.3,0.2,78.0,71.0,16.3,59.3,4.3,21.7
0500000US25001,94.8,84.9,7.2,82.3,3.3,65.7,2.0,1.8,0.0,5.2,90.0,0.1,89.9,78.8,7.4,81.4,2.8,10.0
0500000US25003,89.9,79.7,6.7,75.7,4.8,62.1,2.0,1.5,0.0,10.1,86.4,0.3,86.1,72.7,7.7,73.6,4.3,13.6
