id,pop_total,county,state,pop_class
0500000US04023,47669,Santa Cruz County,Arizona,Micro Area
0500000US04025,236209,Yavapai County,Arizona,Small Metro Area
0500000US04027,203881,Yuma County,Arizona,Small Metro Area
0500000US05001,17149,Arkansas County,Arkansas,Micro Area
0500000US05003,19062,Ashley County,Arkansas,Micro Area
0500000US05005,41627,Baxter County,Arkansas,Micro Area
0500000US05007,284333,Benton County,Arkansas,Medium Metro Area
0500000US05009,37373,Boone County,Arkansas,Micro Area
0500000US05011,10545,Bradley County,Arkansas,Micro Area
0500000US05013,4739,Calhoun County,Arkansas,Rural Area
0500000US05015,28260,Carroll County,Arkansas,Micro Area
0500000US05017,10208,Chicot County,Arkansas,Micro Area
0500000US05019,21446,Clark County,Arkansas,Micro Area
0500000US05021,14552,Clay County,Arkansas,Micro Area
0500000US05023,24711,Cleburne County,Arkansas,Micro Area
0500000US05025,7550,Cleveland County,Arkansas,Rural Area
0500000US05027,22801,Columbia County,Arkansas,Micro Area
0500000US05029,20715,Conway County,Arkansas,Micro Area
0500000US05031,111231,Craighead County,Arkansas,Small Metro Area
0500000US05033,60133,Crawford County,Arkansas,Small Metro Area
0500000US05035,48163,Crittenden County,Arkansas,Micro Area
0500000US05037,16833,Cross County,Arkansas,Micro Area
0500000US05039,6482,Dallas County,Arkansas,Rural Area
0500000US05041,11395,Desha County,Arkansas,Micro Area
0500000US05043,17350,Drew County,Arkansas,Micro Area
0500000US05045,123498,Faulkner County,Arkansas,Small Metro Area
0500000US05047,17097,Franklin County,Arkansas,Micro Area
0500000US05049,12075,Fulton County,Arkansas,Micro Area
0500000US05051,100180,Garland County,Arkansas,Small Metro Area
0500000US05053,17958,Grant County,Arkansas,Micro Area
0500000US05055,45736,Greene County,Arkansas,Micro Area
0500000US05057,20065,Hempstead County,Arkansas,Micro Area
0500000US05059,33040,Hot Spring County,Arkansas,Micro Area
0500000US05061,12785,Howard County,Arkansas,Micro Area
0500000US05063,37938,Independence County,Arkansas,Micro Area
0500000US05065,13577,Izard County,Arkansas,Micro Area
0500000US05067,16755,Jackson County,Arkansas,Micro Area
0500000US05069,67260,Jefferson County,Arkansas,Small Metro Area
0500000US05071,25749,Johnson County,Arkansas,Micro Area
0500000US05073,6308,Lafayette County,Arkansas,Rural Area
0500000US05075,16216,Lawrence County,Arkansas,Micro Area
0500000US05077,8600,Lee County,Arkansas,Rural Area
0500000US05079,12941,Lincoln County,Arkansas,Micro Area
0500000US05081,12026,Little River County,Arkansas,Micro Area
0500000US05083,21131,Logan County,Arkansas,Micro Area
0500000US05085,74015,Lonoke County,Arkansas,Small Metro Area
0500000US05087,16521,Madison County,Arkansas,Micro Area
0500000US05089,16826,Marion County,Arkansas,Micro Area
0500000US05091,42600,Miller County,Arkansas,Micro Area
0500000US05093,40685,Mississippi County,Arkansas,Micro Area
0500000US05095,6799,Monroe County,Arkansas,Rural Area
0500000US05097,8484,Montgomery County,Arkansas,Rural Area
0500000US05099,8310,Nevada County,Arkansas,Rural Area
0500000US05101,7225,Newton County,Arkansas,Rural Area
0500000US05103,22650,Ouachita County,Arkansas,Micro Area
0500000US05105,10019,Perry County,Arkansas,Micro Area
0500000US05107,16568,Phillips County,Arkansas,Micro Area
0500000US05109,10171,Pike County,Arkansas,Micro Area
0500000US05111,22965,Poinsett County,Arkansas,Micro Area
0500000US05113,19221,Polk County,Arkansas,Micro Area
0500000US05115,63381,Pope County,Arkansas,Small Metro Area
0500000US05117,8282,Prairie County,Arkansas,Rural Area
0500000US05119,399125,Pulaski County,Arkansas,Medium Metro Area
0500000US05121,18571,Randolph County,Arkansas,Micro Area
0500000US05123,23090,St. Francis County,Arkansas,Micro Area
0500000US05125,123416,Saline County,Arkansas,Small Metro Area
0500000US05127,9836,Scott County,Arkansas,Rural Area
0500000US05129,7828,Searcy County,Arkansas,Rural Area
0500000US05131,127799,Sebastian County,Arkansas,Small Metro Area
0500000US05133,15839,Sevier County,Arkansas,Micro Area
0500000US05135,17271,Sharp County,Arkansas,Micro Area
0500000US05137,12359,Stone County,Arkansas,Micro Area
0500000US05139,39054,Union County,Arkansas,Micro Area
0500000US05141,15796,Van Buren County,Arkansas,Micro Area
0500000US05143,245871,Washington County,Arkansas,Small Metro Area
0500000US05145,76822,White County,Arkansas,Small Metro Area
0500000US05147,6269,Woodruff County,Arkansas,Rural Area
0500000US05149,20263,Yell County,Arkansas,Micro Area
0500000US06001,1682353,Alameda County,California,Large Metro Area
0500000US06003,1204,Alpine County,California,Rural Area
0500000US06005,40474,Amador County,California,Micro Area
0500000US06007,211632,Butte County,California,Small Metro Area
0500000US06009,45292,Calaveras County,California,Micro Area
0500000US06011,21839,Colusa County,California,Micro Area
0500000US06013,1165927,Contra Costa County,California,Large Metro Area
0500000US06015,27743,Del Norte County,California,Micro Area
0500000US06017,191185,El Dorado County,California,Small Metro Area
0500000US06019,1008654,Fresno County,California,Large Metro Area
0500000US06021,28917,Glenn County,California,Micro Area
